2001:19f0:6c01:1013:5400:4ff:fe6d:b218  # ads.muslimehelfen.org
2600:9000:2029:bc00:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:2029:ee00:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:2029:f800:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:20e9:5000:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:6000:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:7600:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:9400:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:a400:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:b000:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:cc00:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:20e9:fe00:a:6be0:b800:93a1    # ads.activestate.com
2600:9000:21ff:5a00:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:21ff:ac00:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:21ff:ae00:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:21ff:b600:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:2203:2400:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:2203:3200:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:2203:8000:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:2203:ac00:12:5da5:dd00:93a1   # ads.acrosspf.com
2600:9000:2340:0:e:a287:ee00:93a1       # a.vfghd.com
2600:9000:2340:4c00:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:2340:6e00:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:2340:8600:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:2340:9600:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:2340:e600:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:2340:ea00:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:2340:fc00:e:a287:ee00:93a1    # a.vfghd.com
2600:9000:234f:2800:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:234f:400:4:740:3d40:93a1      # a.vfgtb.com
2600:9000:234f:5400:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:234f:7e00:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:234f:9200:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:234f:a800:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:234f:aa00:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:234f:c200:4:740:3d40:93a1     # a.vfgtb.com
2600:9000:24bf:2000:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24bf:5800:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24bf:800:1d:f82b:9bc0:93a1    # ads.dennisnet.co.uk
2600:9000:24bf:8200:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24bf:9600:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24bf:be00:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24bf:cc00:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24bf:d800:1d:f82b:9bc0:93a1   # ads.dennisnet.co.uk
2600:9000:24d2:1000:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:2800:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:6800:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:8e00:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:9600:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:9c00:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:d000:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:24d2:f800:9:fddd:fc40:93a1    # api.rudderlabs.com
2600:9000:2508:2400:12:e08a:be80:93a1   # adsrvr.org
2600:9000:2508:3a00:12:e08a:be80:93a1   # adsrvr.org
2600:9000:2508:6c00:12:e08a:be80:93a1   # adsrvr.org
2600:9000:2508:9000:12:e08a:be80:93a1   # adsrvr.org
2600:9000:2508:a00:12:e08a:be80:93a1    # adsrvr.org
2600:9000:2508:a600:12:e08a:be80:93a1   # adsrvr.org
2600:9000:2508:b200:12:e08a:be80:93a1   # adsrvr.org
2600:9000:2508:e200:12:e08a:be80:93a1   # adsrvr.org
2600:9000:27d4:1000:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:1600:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:5800:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:8600:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:8e00:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:ca00:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:f200:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27d4:f600:12:b587:d880:93a1   # ads.servebom.com
2600:9000:27fb:5800:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:27fb:600:1e:a8c3:888e:ab81    # ads.bittorrent.com
2600:9000:27fb:800:1e:a8c3:888e:ab81    # ads.bittorrent.com
2600:9000:27fb:8e00:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:27fb:a800:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:27fb:c00:1e:a8c3:888e:ab81    # ads.bittorrent.com
2600:9000:27fb:da00:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:27fb:fc00:1e:a8c3:888e:ab81   # ads.bittorrent.com
2600:9000:289d:2200:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:3800:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:5200:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:6000:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:ce00:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:d600:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:e400:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:289d:f200:1d:f351:f5c0:93a1   # adimages.homestore.com
2600:9000:28a9:2200:8:48e:53c0:93a1     # adsafeprotected.com
2600:9000:28a9:5400:8:48e:53c0:93a1     # adsafeprotected.com
2600:9000:28a9:a00:8:48e:53c0:93a1      # adsafeprotected.com
2600:9000:28a9:a400:8:48e:53c0:93a1     # adsafeprotected.com
2600:9000:28a9:a600:8:48e:53c0:93a1     # adsafeprotected.com
2600:9000:28a9:a800:8:48e:53c0:93a1     # adsafeprotected.com
2600:9000:28a9:bc00:8:48e:53c0:93a1     # adsafeprotected.com
2600:9000:28a9:fa00:8:48e:53c0:93a1     # adsafeprotected.com
2604:4f00:10:8127:0:33:63:1             # ads.epltalk.com
2606:4700:10::6816:1698                 # anstrex.com
2606:4700:10::6816:1798                 # anstrex.com
2606:4700:10::6816:20c                  # ads.quoka.de
2606:4700:10::6816:30c                  # ads.quoka.de
2606:4700:10::6816:4092                 # adlooxtracking.com
2606:4700:10::6816:4192                 # adlooxtracking.com
2606:4700:10::6816:4aab                 # amung.us
2606:4700:10::6816:4bab                 # amung.us
2606:4700:10::6816:4c56                 # ads.schmoozecom.net
2606:4700:10::6816:4d56                 # ads.schmoozecom.net
2606:4700:10::ac43:1e26                 # ads.quoka.de
2606:4700:10::ac43:2415                 # adlooxtracking.com
2606:4700:10::ac43:26ea                 # ads.schmoozecom.net
2606:4700:10::ac43:27dc                 # anstrex.com
2606:4700:10::ac43:88d                  # amung.us
2606:4700:130:436c:6f75:6466:6c61:7265  # adserver.mobi
2606:4700:20::6818:c00a                 # analytics.ostr.io
2606:4700:20::681a:11b                  # ad.dnoticias.pt
2606:4700:20::681a:148                  # adsystem.simplemachines.org
2606:4700:20::681a:1b                   # ad.dnoticias.pt
2606:4700:20::681a:1d9                  # adrotic.girlonthenet.com
2606:4700:20::681a:1f5                  # adnami.io
2606:4700:20::681a:21c                  # adserver.generationiron.com
2606:4700:20::681a:246                  # ad-delivery.net
2606:4700:20::681a:287                  # ads24h.net
2606:4700:20::681a:31c                  # adserver.generationiron.com
2606:4700:20::681a:346                  # ad-delivery.net
2606:4700:20::681a:387                  # ads24h.net
2606:4700:20::681a:426                  # a5.overclockers.ua
2606:4700:20::681a:48                   # adsystem.simplemachines.org
2606:4700:20::681a:494                  # ads.com.com
2606:4700:20::681a:526                  # a5.overclockers.ua
2606:4700:20::681a:594                  # ads.com.com
2606:4700:20::681a:61b                  # ad4mat.net
2606:4700:20::681a:6e3                  # ablink.news.emails-puregym.com
2606:4700:20::681a:71b                  # ad4mat.net
2606:4700:20::681a:7e3                  # ablink.news.emails-puregym.com
2606:4700:20::681a:a66                  # ads.uncrate.com
2606:4700:20::681a:a67                  # ad.bitmedia.io
2606:4700:20::681a:b66                  # ads.uncrate.com
2606:4700:20::681a:b67                  # ad.bitmedia.io
2606:4700:20::681a:cdc                  # ads.digitalpoint.com
2606:4700:20::681a:d9                   # adrotic.girlonthenet.com
2606:4700:20::681a:ddc                  # ads.digitalpoint.com
2606:4700:20::681a:f5                   # adnami.io
2606:4700:20::ac43:444e                 # ad4mat.net
2606:4700:20::ac43:4513                 # ad-delivery.net
2606:4700:20::ac43:45be                 # ads.uncrate.com
2606:4700:20::ac43:45d3                 # adrotic.girlonthenet.com
2606:4700:20::ac43:45db                 # ads24h.net
2606:4700:20::ac43:4658                 # ablink.news.emails-puregym.com
2606:4700:20::ac43:466a                 # ad.bitmedia.io
2606:4700:20::ac43:4676                 # adsystem.simplemachines.org
2606:4700:20::ac43:468b                 # adnami.io
2606:4700:20::ac43:480d                 # a5.overclockers.ua
2606:4700:20::ac43:48ac                 # ads.digitalpoint.com
2606:4700:20::ac43:48da                 # ads.com.com
2606:4700:20::ac43:4901                 # ad.dnoticias.pt
2606:4700:20::ac43:4af8                 # adserver.generationiron.com
2606:4700:20::ac43:73a1                 # analytics.ostr.io
2606:4700:3030::6815:1001               # adnetworkperformance.com
2606:4700:3030::6815:1d1b               # ad4mat.de
2606:4700:3030::6815:2001               # adnetworkperformance.com
2606:4700:3030::6815:2cf1               # adrazzi.com
2606:4700:3030::6815:3001               # adcovery.com
2606:4700:3030::6815:4001               # adnetworkperformance.com
2606:4700:3030::6815:5001               # adcovery.com
2606:4700:3030::6815:5605               # affiliate.rusvpn.com
2606:4700:3030::6815:576                # adonspot.com
2606:4700:3030::6815:6001               # adcovery.com
2606:4700:3030::6815:7001               # adnetworkperformance.com
2606:4700:3030::6815:928                # adserver.bizedge.com
2606:4700:3030::6815:aa1                # adizio.com
2606:4700:3030::6815:bf3                # adsxyz.com
2606:4700:3030::6815:cef                # adspredictiv.com
2606:4700:3030::6815:e49                # ads.opensubtitles.org
2606:4700:3030::ac43:8908               # adsnative.com
2606:4700:3030::ac43:d3ed               # ads.dtpnetwork.biz
2606:4700:3030::ac43:d551               # affiliate.rusvpn.com
2606:4700:3030::ac43:d6c5               # ads.deltha.hu
2606:4700:3031::6815:1e11               # adz.rashflash.com
2606:4700:3031::6815:4336               # ads.whoishostingthis.com
2606:4700:3031::6815:50d0               # adzbazar.com
2606:4700:3031::6815:535a               # adplus.co.id
2606:4700:3031::6815:5b5a               # ads.deltha.hu
2606:4700:3031::6815:79f                # adtrace.org
2606:4700:3031::ac43:8561               # adonspot.com
2606:4700:3031::ac43:8d71               # adserver.bizedge.com
2606:4700:3031::ac43:9635               # adz.rashflash.com
2606:4700:3031::ac43:b2d3               # adcel.co
2606:4700:3031::ac43:d684               # ad.simgames.net
2606:4700:3032::6815:28a0               # adsrv2.swidnica24.pl
2606:4700:3032::6815:2ebd               # ads.abovetopsecret.com
2606:4700:3032::6815:5030               # ads-click.com
2606:4700:3032::6815:5523               # 4clicker.pro
2606:4700:3032::6815:aba                # ads.fotosidan.se
2606:4700:3032::ac43:99d1               # adzbazar.com
2606:4700:3032::ac43:9c89               # adsmart.com
2606:4700:3032::ac43:bb34               # adtech-digital.ru
2606:4700:3032::ac43:cd45               # adrazzi.com
2606:4700:3033::6815:10ed               # ads.liberte.pl
2606:4700:3033::6815:40af               # adtech-digital.ru
2606:4700:3033::6815:4a3a               # a.vartoken.com
2606:4700:3033::6815:5747               # advertwizard.com
2606:4700:3033::6815:584c               # ads.suomiautomaatti.com
2606:4700:3033::6815:7ec                # adsmart.com
2606:4700:3033::ac43:83ad               # adizio.com
2606:4700:3033::ac43:944f               # ad4mat.de
2606:4700:3033::ac43:bf6d               # ad.jacotei.com.br
2606:4700:3033::ac43:c9e2               # 4clicker.pro
2606:4700:3033::ac43:d36f               # ads.miarroba.com
2606:4700:3033::ac43:d88a               # anuncios.edicaoms.com.br
2606:4700:3033::ac43:dcee               # adplus.co.id
2606:4700:3034::6815:155e               # amazingcounters.com
2606:4700:3034::6815:1c47               # adblockanalytics.com
2606:4700:3034::6815:238a               # 2linkpath.com
2606:4700:3034::6815:3da0               # ads.dtpnetwork.biz
2606:4700:3034::6815:5cb2               # a.sakh.com
2606:4700:3034::ac43:83af               # ads.fotosidan.se
2606:4700:3034::ac43:a7fb               # a.vartoken.com
2606:4700:3034::ac43:ae09               # ads.suomiautomaatti.com
2606:4700:3035::6815:4e11               # ad.simgames.net
2606:4700:3035::6815:5deb               # anuncios.edicaoms.com.br
2606:4700:3035::6815:709                # ads.bumq.com
2606:4700:3035::ac43:80e9               # ads.lordlucky.com
2606:4700:3035::ac43:8294               # adexc.net
2606:4700:3035::ac43:99ee               # adspredictiv.com
2606:4700:3035::ac43:c5a0               # amazingcounters.com
2606:4700:3036::6815:10fb               # adclixx.net
2606:4700:3036::6815:2841               # adcel.co
2606:4700:3036::6815:2dbf               # ads.elcarado.com
2606:4700:3036::6815:4c53               # ad.jacotei.com.br
2606:4700:3036::6815:4dc6               # ads.miarroba.com
2606:4700:3036::6815:9cb                # adnetasia.com
2606:4700:3036::ac43:8d8e               # ads.abovetopsecret.com
2606:4700:3036::ac43:909c               # adblockanalytics.com
2606:4700:3036::ac43:9b59               # ads.bumq.com
2606:4700:3036::ac43:9e2c               # ads.opensubtitles.org
2606:4700:3036::ac43:ae57               # ads-click.com
2606:4700:3036::ac43:c513               # a.sakh.com
2606:4700:3036::ac43:d5d5               # ads.whoishostingthis.com
2606:4700:3036::ac43:da47               # ads.elcarado.com
2606:4700:3037::6815:250                # ads.lordlucky.com
2606:4700:3037::6815:26a8               # adsnative.com
2606:4700:3037::6815:36c                # adexc.net
2606:4700:3037::ac43:88f1               # adtrace.org
2606:4700:3037::ac43:8e30               # advertwizard.com
2606:4700:3037::ac43:9a6a               # adsrv2.swidnica24.pl
2606:4700:3037::ac43:af5d               # 2linkpath.com
2606:4700:3037::ac43:bd90               # adnetasia.com
2606:4700:3037::ac43:c11f               # adsxyz.com
2606:4700:3037::ac43:d8da               # ads.liberte.pl
2606:4700:3037::ac43:d9be               # adclixx.net
2606:4700:4400::6812:2341               # adskeeper.co.uk
2606:4700:4400::6812:2396               # adskeeper.com
2606:4700:4400::6812:27ac               # ads.comeon.com
2606:4700:4400::6812:28ab               # as.webmd.com
2606:4700:4400::ac40:9355               # as.webmd.com
2606:4700:4400::ac40:9454               # ads.comeon.com
2606:4700:4400::ac40:986a               # adskeeper.com
2606:4700:4400::ac40:98bf               # adskeeper.co.uk
2606:4700:7::a29f:882c                  # analytics.picsart.com
2606:4700:7::a29f:892c                  # analytics.picsart.com
2606:4700::6810:745b                    # ads.verticalresponse.com
2606:4700::6810:7709                    # appboycdn.com
2606:4700::6810:7809                    # appboycdn.com
2606:4700::6811:ca35                    # analytics.justuno.com
2606:4700::6811:cb35                    # analytics.justuno.com
2606:4700::6812:1091                    # adnium.com
2606:4700::6812:1191                    # adnium.com
2606:4700::6812:186f                    # actuallysheep.com
2606:4700::6812:196f                    # actuallysheep.com
2606:4700::6812:4553                    # ads.verticalresponse.com
2606:4700::6812:646                     # adexchangegate.com
2606:4700::6812:746                     # adexchangegate.com
2606:4700::6812:bbdf                    # ads.a-snag-smartmoney.fyi
2606:4700::6812:bcdf                    # ads.a-snag-smartmoney.fyi
2607:5300:60:7fe0::                     # ad.abum.com
2607:f1c0:100f:f000::254                # ads.emdee.ca
2607:f8b0:4009:801::200e                # admeld.com
2607:f8b0:4009:806::2002                # adservice.google.com.mt
2607:f8b0:4009:808::200e                # apture.com
2607:f8b0:4009:809::200e                # ads.youtube.com
2607:f8b0:4009:814::2001                # ads.gmodules.com
2607:f8b0:4009:814::200e                # adsensecustomsearchads.com
2607:f8b0:4009:814::2013                # analytics.xelondigital.com
2607:f8b0:4009:817::2002                # adservice.google.com
2607:f8b0:4009:81a::200e                # app-measurement.com
2607:f8b0:4023:141b::65                 # admob.com
2607:f8b0:4023:141b::66                 # admob.com
2607:f8b0:4023:141b::71                 # admob.com
2607:f8b0:4023:141b::8a                 # admob.com
2607:fbe0:1:47::2                       # alipromo.com
2620:0:890::100                         # ads-game-187f4.firebaseapp.com
2620:109:c002::6cae:a18                 # ads.linkedin.com
2620:122:b000:6::1005                   # ads.socialtheater.com
2620:1ec:bdf::51                        # ads.leovegas.com
2620:1ec:c11::237                       # ads.bing.com
2a00:1148:db00::17                      # ads.icq.com
2a00:4b40:aaaa:2001::6                  # adserver.scr.sk
2a00:da80:e::129                        # ad.centrum.cz
2a01:270:2014:17::1                     # ad2.netriota.hu
2a01:4f8:2b01:70d::2                    # ads.watson.ch
2a01:4f8:2b02:eaf::2                    # ads.watson.ch
2a01:4f8:2b02:eb4::2                    # ads.watson.ch
2a01:4f8:c010:3f9c::1                   # ad.nachtagenten.de
2a01:4f8:c17:c19c::1                    # ad.nachtagenten.de
2a01:4f8:c2c:abf5::1                    # ad.nachtagenten.de
2a01:4f8:d0a:60b4::2                    # admatchly.com
2a01:7c8:bb0b:2c1:5054:ff:fe3e:58f0     # adscience.nl
2a01:7c8:f0:1011:0:1:7db7:ae2c          # annonser.dagbladet.no
2a02:2350:5:111:20:a07a:b411:8e3a       # adshrink.it
2a02:4780:22:7b4e:e7d4:a005:84fb:f2a0   # all4spy.com
2a02:6b8::1be                           # ads.adfox.ru
2a02:6b8::286                           # api.appmetrica.yandex.ru
2a02:6b8::3:207                         # analytics.mobile.yandex.net
2a02:6b8::4:120                         # adsdk.yandex.ru
2a02:b48:4000:d::1                      # ads.xhamster.com
2a02:b49:4:8::1                         # ads.xhamster.com
2a02:c206:2041:1378::1                  # ads.nordichardware.se
2a02:c500:1:107::1                      # ads.lifethink.net
2a02:cb40:200::d4                       # adcell.de
2a03:4000:28:fd::1                      # ad1.emule-project.org
2a03:b0c0:3:d0::152b:5001               # analytics.cloudron.io
2a10:9903:311:186::1                    # adworx.nl
