100::ffff:ffff:ffff:ffff                # prov.alphonso.tv
2001:41d0:301::27                       # lajna.fr
2001:41d0:301::29                       # www.annuaire-autosurf.com
2001:41d0:72b:4600::                    # ads.watson.ch
2001:470:1:332::ef                      # lp.cooktracking.com
2001:470:1:332::fe                      # lp.cooktracking.com
2001:470:1:3a::14                       # ad.keenspace.com
2001:470:1f07:135:e63d:1aff:fe85:29d0   # ads.financialcontent.com
2001:4838:101:2::4275:3dfa              # lnks.gd
2001:4860:4802:32::15                   # ae.gsecondscreen.com
2001:4860:4802:32::181                  # analytics.google.com
2001:4860:4802:32::1d                   # fabric.io
2001:4860:4802:32::223                  # firebaselogging-pa.googleapis.com
2001:4860:4802:32::36                   # region1.google-analytics.com
2001:4860:4802:34::15                   # js.center.io
2001:4860:4802:34::181                  # analytics.google.com
2001:4860:4802:34::223                  # firebaselogging-pa.googleapis.com
2001:4860:4802:34::36                   # region1.google-analytics.com
2001:4860:4802:36::15                   # js.center.io
2001:4860:4802:36::181                  # analytics.google.com
2001:4860:4802:36::223                  # firebaselogging-pa.googleapis.com
2001:4860:4802:36::36                   # us-central1-adaptive-growth.cloudfunctions.net
2001:4860:4802:38::15                   # js.center.io
2001:4860:4802:38::181                  # analytics.google.com
2001:4860:4802:38::223                  # firebaselogging-pa.googleapis.com
2001:4998:14:800::5000                  # ybinst9.ec.yimg.com
2001:4998:14:800::5001                  # ybinst9.ec.yimg.com
2001:4998:18:800::4007                  # ybinst4.ec.yimg.com
2001:4998:18:800::4008                  # ybinst4.ec.yimg.com
2001:4998:20:807::5                     # ybinst4.ec.yimg.com
2001:4998:20:807::6                     # ybinst4.ec.yimg.com
2001:4998:44:3304::3000                 # analytics.query.yahoo.com
2001:4998:44:3507::4000                 # adtech.yahooinc.com
2001:4998:60:807::1                     # e.yieldmanager.net
2001:4998:60:807::2                     # e.yieldmanager.net
2001:4998:68:807::                      # ampmetrics.engadget.com
2001:4998:68:807::1                     # ampmetrics.engadget.com
2001:4b78:1001::1001                    # newclick.com
2001:4b78:1001::601                     # www.essereessenza.it
2001:4c28:3000:622:107:167:110:211      # merchandise.opera-api.com
2001:4c28:3000:622:107:167:110:216      # merchandise.opera-api.com
2001:4c48:16:6::1:1d                    # vidamsag.postr.hu
2001:4c48:16:6::2:1d                    # vidamsag.postr.hu
2001:558:6040:1e:64f1:4491:9496:7967    # qwebirc.swiftirc.net
2001:558:fc18:2:f816:3eff:fe04:c078     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe0c:d992     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe16:a865     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe1c:a195     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe44:f5c6     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe4f:ccea     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe50:a648     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe5a:6203     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe62:a1b1     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe69:978c     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fe74:2f77     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:feb7:c6a3     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fec7:dab7     # metricscollector.lp.xcal.tv
2001:558:fc18:2:f816:3eff:fed6:38a8     # metricscollector.lp.xcal.tv
2001:678:63c:0:9:5bd3:dc31:1            # zpafiska.pl
2001:678:63c:0:9:5bd3:dc33:1            # marekporwol.pl
2001:678:63c:0:9:5bd3:dc35:1            # villagarden.pl
2001:678:63c:0:9:5bd3:dc38:1            # psorismax.pl
2001:678:63c:0:9:5bd3:dc3a:1            # www.slawop.net
2001:678:63c:0:9:5bd3:dc6b:1            # www.strefa-filmu.pl
2001:678:63c:0:9:5bd3:dc6e:1            # prawojazdy-poznan.com.pl
2001:678:cb4:bbbb::11                   # presentation-ams1.turn.com
2001:67c:2070:c868::1                   # beespace.com.ua
2001:67c:2294:1000::f196                # anapixel.elmundo.es
2001:67c:2294:1000::f197                # pixelcounter.elmundo.es
2001:67c:2354:2::22                     # 3filmy.com
2001:67c:38c::27                        # phpadsnew.wn.com
2001:67c:68::21                         # ad.lupa.cz
2001:67c:68::24                         # ia.iinfo.cz
2001:67c:68::86                         # navrcholu.cz
2001:6d0:4001::226                      # www.tns-counter.ru
2001:7f0:3000:512::548:251              # superclix.de
2001:8a0:2104:8::12                     # pub.web.sapo.io
2001:8a0:2104:8::15                     # pub.web.sapo.io
2001:8a0:2104:8::16                     # pub.web.sapo.io
2001:8a0:2104:9::43                     # pub.web.sapo.io
2001:8a0:2104:9::46                     # pub.web.sapo.io
2001:8d8:1001:60e6:5159:1105:c019:6000  # websitehome.co.uk
2001:8d8:100f:f000::200                 # w2mobile.com
2001:8d8:100f:f000::20a                 # blessdayservices.org
2001:8d8:100f:f000::20f                 # its-that-easy.com
2001:8d8:100f:f000::267                 # litec-fr.com
2001:8d8:100f:f000::271                 # smart-traffik.io
2001:8d8:100f:f000::284                 # visam.info
2001:8d8:100f:f000::2a1                 # www.silver-hubdachwohnwagen.de
2001:8d8:89a:9600::6d:6efe              # karinart.de
2001:df0:13:3::1a                       # mplaylist-ads.zadn.vn
2001:df0:13:7::2b                       # log.api.zaloapp.com
2001:df0:13:7::3d                       # log.api.zaloapp.com
2001:df0:13::1110                       # log.baomoi.com
2001:df0:13::1111                       # log.baomoi.com
2001:df0:13::1118                       # log.baomoi.com
2001:df0:13::1190                       # log.baomoi.com
2001:df0:13::1191                       # log.baomoi.com
2001:df0:13:e::3c                       # tracker-mw-zlivestream.zapps.vn
2001:df0:13:e::3d                       # api.adtimaserver.vn
2001:df0:13:e::4c                       # tracker-mw-zlivestream.zapps.vn
2001:df0:13:e::4d                       # api.adtimaserver.vn
2001:df0:13:e::5c                       # tracker-mw-zlivestream.zapps.vn
2001:df0:13:e::5d                       # api.adtimaserver.vn
2001:df2:a300:bbbb::135                 # presentation-hkg1.turn.com
2001:ee0:37f:fff3::345                  # adtima-static.zadn.vn
2001:ee0:37f:fff3::8d                   # log-nhandan.zadn.vn
2001:ee0:37f:fff3::90                   # log-nhandan.zadn.vn
2001:ff0:208c:1:1:1:d:d135              # www.k-macs.ne.jp
2400:52e0:1a00::1029:1                  # cdn1.vntsm.com
2400:52e0:1a00::1069:1                  # pscontent.playstream.media
2400:52e0:1a00::1347:1                  # cdn.playstream.media
2400:52e0:1a00::1348:1                  # p.permalink-system.com
2400:52e0:1a00::845:1                   # ps.popcash.net
2400:52e0:1e02::1315:1                  # icon.eu.mndsrv.com
2400:6180:0:d0::e08:a001                # ads.sysmesh.com
2400:8901::2000:ddff:fe5b:f1c8          # www.wisatatri.com
2400:89c0:3013:1::11:128                # newspush.sinajs.cn
2400:89c0:3013:1::11:95                 # sdkclick.mobile.sina.cn
2401:5f80:4001:e::37                    # adtima-static.zadn.vn
2401:b180:7003::2da                     # plbslog.umeng.com
2401:b180:7003::2e                      # cnzz.mmstat.com
2402:1f00:8201:8f::1                    # cyberfaery.com
2402:4e00:1020:1400:0:92d2:90d5:ec99    # tools.3g.qq.com
2402:4e00:1020:1400:0:92d2:90db:f7d0    # tools.3g.qq.com
2402:4e00:1020:140d:0:92da:1fe6:6f9a    # tools.3g.qq.com
2402:4e00:1020:140d:0:92da:1fee:eda     # tools.3g.qq.com
2402:4e00:1200:601:0:9b1e:a635:5264     # g.cn.miaozhen.com
2402:4e00:1200:601:0:9b1e:a63b:57e4     # g.cn.miaozhen.com
2402:4e00:1200:601:0:9b1e:a681:b6e5     # e.cn.miaozhen.com
2402:4e00:1200:601:0:9b1e:a687:7cc3     # e.cn.miaozhen.com
2402:4e00:1205:2400:0:9773:7789:9323    # pd.ads.cn.miaozhen.com
2402:4e00:1206:8d01:0:9a13:29f2:b59b    # g.koowo.com
2402:4e00:1206:8d01:0:9a13:29f6:ee3f    # g.koowo.com
2402:4e00:1206:8d01:0:9ac9:e4b5:f9a4    # log.kuwo.cn
2402:4e00:1206:8d01:0:9ac9:e4e3:ce23    # log.kuwo.cn
2402:4e00:8020:2::7c                    # astat.bugly.qq.com
2402:4e00:8020:2::a                     # aexception.bugly.qq.com
2402:4e00::18                           # adver.pengyou.com
2402:5300:4009:84::55                   # adtima-static.zadn.vn
2402:800:20ff:4013::1111                # vda.viettel.vn
2402:800:20ff:4013::2222                # vda.viettel.vn
2402:9d80:29a::8                        # eva-ad.24hstatic.com
2403:6a40:2:7500::142:0                 # fcd.autoads.asia
2404:6800:400b:c006::5e                 # beacons2.gvt2.com
2405:4800:ae00:1b01::65c                # adtima-static.zadn.vn
2405:4800:ae00:1b01::704                # mda.zadn.vn
2405:4800:ae00:1b01::70c                # adtima-media.zascdn.me
2405:4800:ae00:1b01::70d                # adtima-media.zascdn.me
2405:4800:ae00:1b01::70e                # adtima-media.zascdn.me
2405:4800:ae00:1b01::70f                # adtima-media.zascdn.me
2405:4800:ae00:1b01::710                # adtima-media.zascdn.me
2405:4800:ae00:1b01::711                # adtima-media.zascdn.me
2405:4800:ae00:1b01::768                # adtima.vn
2405:f980::1:10                         # sspapi.admicro.vn
2405:f980::1:13                         # sspapi.admicro.vn
2405:f980::1:14                         # lg1.logging.admicro.vn
2405:f980::1:16                         # s.cntqk.vn
2405:f980::ec4:7aff:fe1f:cd8d           # goodsp.admicro.vn
2406:2600:4::1f                         # pix.as.criteo.net
2406:2600:4::22                         # ads.as.criteo.com
2406:2600:4::2f                         # dis.as.criteo.com
2406:2600:4::3                          # rdi.as.criteo.com
2406:2600:4::30                         # cas.as.criteo.com
2406:2600:4::9                          # privacy.as.criteo.com
2406:d440:10c:8e02:261c:ca3e:4170:276   # me.xdrig.com
2406:d440:10c:8e03:681f:3205:54df:8b1b  # me.xdrig.com
2406:da00:ff00::1715:c61                # msmetrics.ws.sonos.com
2406:da00:ff00::23ad:577e               # msmetrics.ws.sonos.com
2406:da00:ff00::2cd7:f138               # msmetrics.ws.sonos.com
2406:da00:ff00::3401:cff7               # msmetrics.ws.sonos.com
2406:da00:ff00::3d2:e7ce                # msmetrics.ws.sonos.com
2406:da00:ff00::ae81:aefb               # msmetrics.ws.sonos.com
2406:da12:fbe:4200:4a3d:af5d:6d5f:7b19  # appinfo.adop.cc
2406:da12:fbe:4203:6e2e:fe3e:32a9:55e5  # appinfo.adop.cc
2406:da14:cd8:602:4d8e:959e:8819:e8a2   # 3ppa.jp.cinarra.com
2406:da14:cd8:602:e453:9c7a:632:e8c3    # 3ppa.jp.cinarra.com
2406:da14:cd8:603:738e:f005:62e9:6d96   # 3ppa.jp.cinarra.com
2406:da14:cd8:603:a19a:85f7:c228:684c   # 3ppa.jp.cinarra.com
2406:da14:f8:b900:1349:9426:b914:3e50   # uncn.jp
2406:da14:f8:b900:d713:f947:75f8:966d   # uncn.jp
2406:da14:f8:b900:f4b4:c743:8a27:9cee   # uncn.jp
2406:da18:e75:50a2:8251:c368:44be:3f68  # si.appnext.com
2406:da18:e75:50b7:d42f:6908:d3:4972    # si.appnext.com
2406:da18:e75:50c6:545d:c3e8:8ada:875c  # si.appnext.com
2407:2440:2d::10                        # d3.sina.com.cn
2407:2440:2d::11                        # d3.sina.com.cn
2407:33c0:0:4::6                        # eva-ad.24hstatic.com
2407:c080:801:fffe::655b:86b8           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86ba           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86cf           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86d0           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86dc           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86dd           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86e3           # xdcs-collector.ximalaya.com
2407:c080:801:fffe::655b:86e9           # xdcs-collector.ximalaya.com
2408:4001:f00::113                      # p4psearch.china.alibaba.com
2408:4001:f00::129                      # at.umeng.com
2408:4001:f00::146                      # at.umeng.com
2408:4001:f00::14d                      # at.umeng.com
2408:4001:f00::169                      # at.umeng.com
2408:4001:f00::1ac                      # at.umeng.com
2408:4001:f00::206                      # at.umeng.com
2408:4001:f00::23b                      # audid-api.taobao.com
2408:4001:f00::272                      # at.umeng.com
2408:4001:f00::27f                      # at.umeng.com
2408:4001:f00::2a8                      # at.umeng.com
2408:4001:f00::30a                      # acjs.aliyun.com
2408:4001:f00::381                      # acjs.aliyun.com
2408:4001:f00::8d                       # at.umeng.com
2408:4001:f00::a7                       # at.umeng.com
2408:4001:f00::d8                       # at.umeng.com
2408:4002:10:20::8                      # beacon-api.aliyuncs.com
2408:4002:10:20::9                      # beacon-api.aliyuncs.com
2408:4002:1f20::21e                     # etl.xlmc.sandai.net
2408:80f1:21:3000::a3                   # mi.gdt.qq.com
2408:80f1:21:c121::24                   # v6.mobilelog.upqzfile.com
2408:870c:c0:1000::15                   # aicleaner.shouji.360.cn
2408:871a:1901:12:34::1d                # pingjs.qq.com
2408:871a:3001:3003::7                  # msg.umengcloud.com
2408:8722:1820:8:8000:0:b00:15          # pp2.pptv.com
2408:8722:b000:f:8000:0:b00:67          # d.wanyouxi7.com
2408:8726:1001:153:62::2                # wa.kuwo.cn
2408:8726:1001:153:62::3                # pingjs.qq.com
2408:8726:1001:153:62::5                # wa.kuwo.cn
2408:8734:4012:1:3a::15                 # pingjs.qq.com
2408:8734:4012:1:3a::25                 # pingjs.qq.com
2408:873c:7a00:2000::1                  # plbslog.umeng.com
2408:873c:7a00:2000::2                  # plbslog.umeng.com
2408:873c:7a00:2000::3                  # errlog.umeng.com
2408:873c:8810:3:38::                   # wa.kuwo.cn
2408:874f:a000:1:8000:0:b00:90          # d.wanyouxi7.com
2408:8752:700:3:8000:0:b00:95           # d.wanyouxi7.com
2408:877f:30:202::20                    # static.topxgun.com
2409:8c00:6c21:106b:0:ff:b014:26d       # channel.api.duapp.com
2409:8c04:1006:3003::7                  # msg.umengcloud.com
2409:8c20:5c64:2000::1                  # plbslog.umeng.com
2409:8c20:5c64:2000::2                  # plbslog.umeng.com
2409:8c20:5c64:2000::4                  # errlog.umeng.com
2409:8c20:5c64:2000::7                  # alog-default.umeng.com
2409:8c20:5c64:2000::8                  # alog-default.umeng.com
2409:8c28:202:e:0:1:0:10                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:11                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:12                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:13                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:14                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:15                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:16                # sdk.open.phone.igexin.com
2409:8c28:202:e:0:1:0:9                 # sdk.open.phone.igexin.com
2409:8c44:1:ff0b:8000:0:b00:96          # d.wanyouxi7.com
2409:8c44:2:ff03:8000:0:b00:20          # d.wanyouxi7.com
2409:8c44:3d01:ff01:8000:0:b00:10       # pp2.pptv.com
2409:8c4c:c00:337:8000:0:b00:26         # pp2.pptv.com
2409:8c4c:e00:210:8000:0:b00:111        # pp2.pptv.com
2409:8c4c:e00:210:8000:0:b00:87         # d.wanyouxi7.com
2409:8c50:a00:2200:8000:0:b00:50        # pp2.pptv.com
240c:4081:8009:501::2                   # bid.adview.cn
240d:c000:2010:1807:0:95aa:87eb:61d8    # tdid.m.qq.com
240d:c000:2010:1807:0:95aa:87ec:eca7    # tdid.m.qq.com
240d:c000:2021:1000:0:951a:80a:d6       # iotapi.adups.com
240d:c000:2021:100a:0:951a:823:a803     # iotapi.adups.com
240d:c000:2021:100a:0:951a:835:7ee3     # iotapi.adups.com
240d:c000:2021:100f:0:9f1c:a2cd:b558    # iotapi.adups.com
240d:c000:f001:f601:6:3df5:626a:bd5c    # fota5p.adups.com
240d:c010:74:2::224                     # zhihu-web-analytics.zhihu.com
240d:c010:75:1::119                     # zhigao5191.com
240d:c010:c8:3::10f                     # c.l.qq.com
240d:c010:cc:1::91                      # c.l.qq.com
240e:83:205:86:0:ff:b09e:368            # channel.api.duapp.com
240e:900:0:1600::4a                     # aicleaner.shouji.360.cn
240e:900:0:1600::d                      # p.s.360.cn
240e:93c:1202:0:8000:0:b00:10           # pp2.pptv.com
240e:93c:1204:10:0:7:1:fb               # bkt.clouddn.com
240e:93c:1204:10:0:7:1:fc               # bkt.clouddn.com
240e:93c:1204:10:0:7:1:fd               # bkt.clouddn.com
240e:93c:1204:10:0:7:1:fe               # bkt.clouddn.com
240e:93c:1206:101::a1                   # upaicdn.xinmei365.com
240e:93c:1206:102:8000:0:b00:83         # d.wanyouxi7.com
240e:93d:8:4::b00:31                    # pp2.pptv.com
240e:940:a03:3003::7                    # msg.umengcloud.com
240e:95c:601:400:8000:0:b00:77          # d.wanyouxi7.com
240e:95d:1904:ff:8000:0:b00:90          # d.wanyouxi7.com
240e:95d:3021:f:8000:0:b00:13           # pp2.pptv.com
240e:979:800:150::a1                    # upaicdn.xinmei365.com
240e:97b:500:2000::1                    # plbslog.umeng.com
240e:97b:500:2000::2                    # plbslog.umeng.com
240e:97b:500:2000::5                    # errlog.umeng.com
240e:97b:500:2000::7                    # alog-default.umeng.com
240e:97b:500:2000::8                    # alog-default.umeng.com
240e:97c:2f:1::9f                       # android.bugly.qq.com
240e:97c:2f:2::4a                       # android.bugly.qq.com
240e:97c:2f:2::65                       # log.tbs.qq.com
240e:97c:2f:2::d                        # log.tbs.qq.com
240e:97d:10:1401::40f                   # static.topxgun.com
240e:97d:10:1a00::b73d:b129             # adm3.autoimg.cn
240e:c3:2800:6:8000:0:b00:38            # pp2.pptv.com
240e:e1:8000:1b04::228                  # ay.eastmoney.com
240e:f7:4f00:250b::a1                   # upaicdn.xinmei365.com
240e:f7:7c00:801::1003                  # devs.data.mob.com
240e:f7:7c00:801::1004                  # f.gm.mob.com
240e:f7:8022:1::7                       # api.tusdk.com
240e:f7:c000:317::13                    # static.topxgun.com
240e:ff:f100:1009::10d                  # sdk.e.qq.com
240e:ff:f100:1009::10f                  # sdk.e.qq.com
240e:ff:f100:1009::111                  # sdk.e.qq.com
240e:ff:f100:1009::12c                  # sdk.e.qq.com
240e:ff:f100:100b::11                   # sdk.e.qq.com
2600:1404:1200:885::3892                # zemanta.com
2600:1404:1200:88b::3892                # zemanta.com
2600:1404:6400:63::172c:7c3             # 4life.com
2600:1404:6400:63::172c:7cf             # 4life.com
2600:1404:ec00:138c::200e               # s-usweb.dotomi.com
2600:1404:ec00:1396::200e               # s-usweb.dotomi.com
2600:1404:ec00:17::17dc:a1c5            # wlplay.aniview.com
2600:1404:ec00:17::17dc:a1da            # wlplay.aniview.com
2600:1404:ec00:1c::17dc:a284            # a.jsrdn.com
2600:1404:ec00:1c::17dc:a285            # us.bksn.se
2600:1404:ec00:1c::17dc:a288            # c.jsrdn.com
2600:1404:ec00:1c::17dc:a28a            # a.jsrdn.com
2600:1404:ec00:1c::17dc:a28c            # vod-media-aka.warnermediacdn.com
2600:1404:ec00:1c::17dc:a28e            # vod-media-aka.warnermediacdn.com
2600:1404:ec00:1c::17dc:a292            # vod-media-aka.warnermediacdn.com
2600:1404:ec00:1c::17dc:a299            # vod-media-aka.warnermediacdn.com
2600:1404:ec00:1c::17dc:a29c            # vod-media-aka.warnermediacdn.com
2600:1404:ec00:2400::17db:576c          # 113vod-adaptive.akamaized.net
2600:1404:ec00:2404::17db:572a          # cdn-aka.ts.mtvnservices.com
2600:1404:ec00:2406::17db:570a          # 113vod-adaptive.akamaized.net
2600:1404:ec00:240e::1735:7f8f          # cdn-aka.ts.mtvnservices.com
2600:1404:ec00:24::17df:f0b2            # e37364.dscd.akamaiedge.net
2600:1404:ec00:24::17df:f0bf            # advertising-cdn.dpgmedia.cloud
2600:1404:ec00:24::17df:f0c2            # e37364.dscd.akamaiedge.net
2600:1404:ec00:24::17df:f0c4            # cdn.socialannex.com
2600:1404:ec00:24::17df:f0c7            # advertising-cdn.dpgmedia.cloud
2600:1404:ec00:24::17df:f0d0            # s.vi-serve.com
2600:1404:ec00:24::17df:f0d1            # s.vi-serve.com
2600:1404:ec00:2d::17df:f284            # playtime.tubemogul.com
2600:1404:ec00:2d::17df:f288            # playtime.tubemogul.com
2600:1404:ec00:482::2a1                 # metrics.mzstatic.com
2600:1404:ec00:483::2a1                 # metrics.mzstatic.com
2600:1404:ec00:48b::2a1                 # metrics.mzstatic.com
2600:1404:ec00:494::2a1                 # metrics.mzstatic.com
2600:1404:ec00:495::2a1                 # metrics.mzstatic.com
2600:1404:ec00:4a::17dc:6684            # 32e1dff65ea4eb3627ed-f1ecc94c86a56d3e42e512fcfd192886.r6.cf1.rackcdn.com
2600:1404:ec00:4a::17dc:668a            # 6b8a953b2bf7788063d5-6e453f33ecbb90f11a62a5c376375af3.r71.cf5.rackcdn.com
2600:1404:ec00:4a::17dc:668c            # live-manifests-aka.warnermediacdn.com
2600:1404:ec00:4a::17dc:6693            # live-manifests-aka.warnermediacdn.com
2600:1404:ec00:4a::17dc:6694            # 97b1c56132dfcdd90f93-0c5c8388c0a5897e648f883e2c86dc72.r54.cf5.rackcdn.com
2600:1404:ec00:4a::17dc:669a            # 32e1dff65ea4eb3627ed-f1ecc94c86a56d3e42e512fcfd192886.r6.cf1.rackcdn.com
2600:1404:ec00:4a::17dc:669b            # 97b1c56132dfcdd90f93-0c5c8388c0a5897e648f883e2c86dc72.r54.cf5.rackcdn.com
2600:1404:ec00:51::17db:57e4            # s.cdn.turner.com
2600:1404:ec00:51::17db:57e5            # ncc.avast.com
2600:1404:ec00:51::17db:57e6            # geocdn.unityads.unity3d.com
2600:1404:ec00:51::17db:57e7            # ads-static.phonepe.com
2600:1404:ec00:51::17db:57e8            # ncc.avast.com
2600:1404:ec00:51::17db:57e9            # fvalid.appsflyer.com.akamaized.net
2600:1404:ec00:51::17db:57ea            # ncc.avast.com
2600:1404:ec00:51::17db:57ec            # t2.chartboost.com
2600:1404:ec00:51::17db:57ed            # ads-static.phonepe.com
2600:1404:ec00:51::17db:57ee            # jioads.akamaized.net
2600:1404:ec00:51::17db:57ef            # jscdn.appier.net
2600:1404:ec00:51::17db:57f0            # v2.chartboost.com
2600:1404:ec00:51::17db:57f1            # ad.appier.net
2600:1404:ec00:580::1ec4                # e7876.dscg.akamaiedge.net
2600:1404:ec00:588::27dc                # download.wildcard.applovin.com.edgekey.net
2600:1404:ec00:58a::16c2                # amptrack.dailymail.co.uk
2600:1404:ec00:58b::2c0c                # cdn.unid.go.com
2600:1404:ec00:58c::16c2                # amptrack.dailymail.co.uk
2600:1404:ec00:58c::2c0c                # cdn.unid.go.com
2600:1404:ec00:58e::27dc                # download.wildcard.applovin.com.edgekey.net
2600:1404:ec00:593::1ec4                # e7876.dscg.akamaiedge.net
2600:1404:ec00:594::aa5                 # ma1310-r.analytics.edgekey.net
2600:1404:ec00:595::aa5                 # ma1310-r.analytics.edgekey.net
2600:1404:ec00:59::1735:7f6a            # i.loopme.me
2600:1404:ec00:59::1735:7f6b            # m.loopme.me
2600:1404:ec00:59::1735:7f6e            # ads.jetpackdigital.com
2600:1404:ec00:59::1735:7f71            # ads.jetpackdigital.com
2600:1404:ec00:6::17c4:b84              # cdn-lb.vungle.akadns.net
2600:1404:ec00:6::17c4:b8a              # static-rtb.adkernel.com
2600:1404:ec00:6::17c4:b8e              # analytics.tresensa.com
2600:1404:ec00:6::17c4:b90              # static.ad-maven.com
2600:1404:ec00:6::17c4:b95              # ma312-r.analytics.edgesuite.net
2600:1404:ec00:6::17c4:b96              # cdn-lb.vungle.akadns.net
2600:1404:ec00:6::17c4:b97              # analytics.tresensa.com
2600:1404:ec00:6::17c4:b9a              # ma312-r.analytics.edgesuite.net
2600:1404:ec00:d80::25f                 # static.media.net
2600:1404:ec00:d80::2c79                # vast.aniview.com
2600:1404:ec00:d86::d5e                 # cdn-store-icons-akamai-prd.unityads.unity3d.com.edgekey.net
2600:1404:ec00:d87::2c79                # vast.aniview.com
2600:1404:ec00:d88::2a83                # vastcdn.outbrain.com
2600:1404:ec00:d8a::27dc                # applovinres.edgekey.net
2600:1404:ec00:d8b::3892                # images2.zemanta.com
2600:1404:ec00:d8b::4469                # akacdn.doubleverify.com.edgekey.net
2600:1404:ec00:d98::4469                # akacdn.doubleverify.com.edgekey.net
2600:1404:ec00:d9a::27dc                # applovinres.edgekey.net
2600:1404:ec00:d9b::33a7                # ipmcdn.avast.com
2600:1404:ec00:d9c::3892                # images2.zemanta.com
2600:1404:ec00:da0::25f                 # static.media.net
2600:1404:ec00:da2::33a7                # ipmcdn.avast.com
2600:1404:ec00:da5::d5e                 # cdn-store-icons-akamai-prd.unityads.unity3d.com.edgekey.net
2600:1404:ec00:da6::2a83                # vastcdn.outbrain.com
2600:1404:ec00:f::17da:e806             # static.rqmob.com
2600:1404:ec00:f::17da:e808             # static.rqmob.com
2600:1405:6400::17c3:513a               # api.vungle.akadns.net
2600:1405:6400::17c3:5143               # api.vungle.akadns.net
